,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
106,2020/081 19:00:36.310,3166,217,759,1,A79C0 00000 00001,2020/081 19:00:36.310,0,406062314.2,0,2.861,40.447,42.742,1.25,0.24,0,4999,0,400.083,FFFE2F 53CE00 000000 000D14 8E5049 FE0548
107,2020/081 18:59:47.831,3166,217,759,1,A79C0 00000 00001,2020/081 18:59:47.831,0,406062314.7,0,2.861,41.808,43.248,1.292,0.26,0,3750,0,400.022,FFFE2F 53CE00 000000 000D14 8E5041 C7FA4A
108,2020/081 18:58:57.654,3166,217,759,1,A79C0 00000 00001,2020/081 18:58:57.654,0,406062313.3,0,2.861,42.186,43.851,1.286,0.253,0,3750,0,400.022,FFFE2F 53CE00 000000 000D14 8E508D FA59F7
109,2020/081 18:58:05.537,3166,217,759,1,A79C0 00000 00001,2020/081 18:58:05.537,0,406062313,0,2.861,41.959,43.213,1.286,0.221,0,5000,0,400.052,FFFE2F 53CE00 000000 000D14 8E5032 52EBF0
110,2020/081 18:57:14.309,3166,217,759,1,A79C0 00000 00001,2020/081 18:57:14.309,0,406062312.1,0,3.815,41.851,43.242,1.281,0.165,0,78,0,399.975,FFFE2F 53CE00 000000 000D14 8E50C6 A55F45
111,2020/081 18:56:23.475,3166,217,759,1,A79C0 00000 00001,2020/081 18:56:23.475,0,406062313.3,0,2.861,42.122,43.672,1.248,0.248,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E5047 8D7852
112,2020/081 18:55:34.053,3166,217,759,1,A79C0 00000 00001,2020/081 18:55:34.053,0,406062312.8,0,4.768,42.083,43.837,1.276,0.164,0,79,1,399.96,FFFE2E 13CE00 000000 000D14 8E5029 B2AE20
113,2020/081 18:53:54.350,3166,217,759,1,A79C0 00000 00001,2020/081 18:53:54.350,0,406062315.2,0,2.861,43.413,45.229,1.244,0.238,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50DF 22881D
114,2020/081 18:53:04.206,3166,217,759,1,A79C0 00000 00001,2020/081 18:53:04.206,0,406062315.8,0,3.815,40.82,42.836,1.249,0.165,0,78,0,400.068,FFFE2F 53CE00 000000 000D14 8E508A 6354C5
115,2020/081 18:52:13.413,3166,217,759,1,A79C0 00000 00001,2020/081 18:52:13.413,0,406062315.1,0,2.861,41.526,43.571,1.255,0.251,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E503D 158D3F
116,2020/081 18:51:21.180,3166,217,759,1,A79C0 00000 00001,2020/081 18:51:21.180,0,406062314.7,0,4.768,42.129,42.717,1.289,0.167,0,0,3,400.099,FFFECF 53CE00 000000 000D14 8E5027 A9C111
117,2020/081 18:50:30.417,3166,217,759,1,A79C0 00000 00001,2020/081 18:50:30.417,0,406062314.7,0,3.815,37.003,38.662,1.27,0.201,0,78,0,399.975,FFFE2F 53CE00 000000 000D14 8E50CE 013C93
118,2020/081 18:39:42.777,3166,217,759,1,A79C0 00000 00001,2020/081 18:39:42.777,0,406062298.7,0,2.861,40.347,42.54,1.251,0.239,0,5000,0,399.945,FFFE2F 53CE00 000000 000D14 8E5018 7F5C60
119,2020/081 18:38:50.996,3166,217,759,1,A79C0 00000 00001,2020/081 18:38:50.996,0,406062296.8,0,2.861,41.476,42.93,1.253,0.229,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5064 08FC73
120,2020/081 18:38:02.456,3166,217,759,1,A79C0 00000 00001,2020/081 18:38:02.456,0,406062294.4,0,2.861,40.786,42.806,1.257,0.231,0,5001,0,399.975,FFFE2F 53CE00 000000 000D14 8E5018 D3EEDA
121,2020/081 18:37:13.938,3166,217,759,1,A79C0 00000 00001,2020/081 18:37:13.938,0,406062292.7,0,2.861,42.009,43.453,1.254,0.245,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50FB 3C017F
122,2020/081 18:36:22.742,3166,217,759,1,A79C0 00000 00001,2020/081 18:36:22.742,0,406062290.5,0,2.861,41.364,43.124,1.251,0.235,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E502D BD67C9
123,2020/081 18:34:43.437,3166,217,759,1,A79C0 00000 00001,2020/081 18:34:43.437,0,406062284.5,0,2.861,40.478,42.701,1.247,0.23,0,5001,0,399.945,FFFE2F 53CE00 000000 000D14 8E5016 CD0ED6
124,2020/081 18:33:55.017,3166,217,759,1,A79C0 00000 00001,2020/081 18:33:55.017,0,406062282.5,0,2.861,39.709,42.061,1.248,0.255,0,5001,0,399.975,FFFE2F 53CE00 000000 000D14 8E50DA 83E353
125,2020/081 18:33:03.870,3166,217,759,1,A79C0 00000 00001,2020/081 18:33:03.870,0,406062281.5,0,2.861,40.704,42.522,1.249,0.251,0,4999,0,400.052,FFFE2F 53CE00 000000 000D14 8E50D0 154C8D
126,2020/081 18:32:15.385,3166,217,759,1,A79C0 00000 00001,2020/081 18:32:15.385,0,406062280.2,0,2.861,39.643,41.757,1.256,0.304,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E5088 A95D9A
127,2020/081 18:31:25.895,3166,217,759,1,A79C0 00000 00001,2020/081 18:31:25.895,0,406062278.3,0,4.768,40.905,42.003,1.272,0.218,0,78,0,400.022,FFFE2F 53CE00 020000 000D14 8E5034 CB9BB3
128,2020/081 18:30:37.784,3166,217,759,1,A79C0 00000 00001,2020/081 18:30:37.784,0,406062276.8,0,4.768,40.534,41.912,1.286,0.2,0,78,0,400.068,FFFE2F 51CE00 000000 000D14 8E509C E5590C
129,2020/081 18:29:46.005,3166,217,759,1,A79C0 00000 00001,2020/081 18:29:46.005,0,406062275.8,0,2.861,40.624,42.34,1.255,0.249,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E50DD FD5A92
130,2020/081 18:28:53.781,3166,217,759,1,A79C0 00000 00001,2020/081 18:28:53.781,0,406062273.3,0,2.861,41.519,42.985,1.25,0.252,0,5000,0,400.052,FFFE2F 53CE00 000000 000D14 8E5044 39D992
131,2020/081 18:28:04.259,3166,217,759,1,A79C0 00000 00001,2020/081 18:28:04.259,0,406062271,0,4.768,41.892,42.274,1.278,0.183,0,77,2,400.099,FFFE2C 53CE00 000000 000D14 8E5008 26CD73
132,2020/081 18:27:15.822,3166,217,759,1,A79C0 00000 00001,2020/081 18:27:15.822,0,406062269.3,0,2.861,41.239,42.828,1.254,0.267,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5024 BCC266
133,2020/081 18:26:26.595,3166,217,759,1,A79C0 00000 00001,2020/081 18:26:26.595,0,406062267.9,0,2.861,41.852,43.338,1.252,0.25,0,5000,0,400.052,FFFE2F 53CE00 000000 000D14 8E50CB C78EC4
134,2020/081 18:24:45.262,3166,217,759,1,A79C0 00000 00001,2020/081 18:24:45.262,0,406062264.5,0,2.861,39.663,42.313,1.251,0.245,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E5097 8189EB
135,2020/081 18:23:54.700,3166,217,759,1,A79C0 00000 00001,2020/081 18:23:54.700,0,406062262.1,0,2.861,39.903,41.92,1.258,0.271,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E50C5 4346AC
136,2020/081 18:23:04.937,3166,217,759,1,A79C0 00000 00001,2020/081 18:23:04.937,0,406062259.7,0,2.861,41.344,42.385,1.253,0.25,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5003 A8623D
137,2020/081 18:22:15.404,3166,217,759,1,A79C0 00000 00001,2020/081 18:22:15.404,0,406062256.2,0,2.861,40.644,42.317,1.258,0.284,0,5000,0,400.052,FFFE2F 53CE00 000000 000D14 8E50AA FC462D
138,2020/081 18:21:23.203,3166,217,759,1,A79C0 00000 00001,2020/081 18:21:23.203,0,406062253.4,0,2.861,40.646,42.209,1.258,0.271,0,4999,0,400.037,FFFE2F 53CE00 000000 000D14 8E503B 2683CC
139,2020/081 18:20:32.076,3166,217,759,1,A79C0 00000 00001,2020/081 18:20:32.076,0,406062250.3,0,2.861,41.501,43.36,1.249,0.243,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E50A2 D992AE
140,2020/081 18:19:39.843,3166,217,759,1,A79C0 00000 00001,2020/081 18:19:39.843,0,406062246.1,0,2.861,41.614,43.075,1.25,0.234,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E5072 DC811B
141,2020/081 18:18:50.007,3166,217,759,1,A79C0 00000 00001,2020/081 18:18:50.007,0,406062243.7,0,2.861,40.257,41.834,1.253,0.244,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50B7 695AC2
142,2020/081 17:49:49.784,3166,217,759,5,A79C0 00000 00001,2020/081 17:49:49.784,0,406062213.2,0,10.49,40.756,41.796,1.264,0.233,2,78,0,400.006,FFFED0 53CE00 000000 000D14 8E5003 3786B2
143,2020/081 17:48:51.715,3166,217,759,1,A79C0 00000 00001,2020/081 17:48:51.715,0,406062187.1,0,2.861,40.607,43.867,1.264,0.27,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E505E 110EFF
